number	annpre_mean	coeff_var		
1589	35.00	24.00
1590	35.00	26.00
1591	35.00	23.00
1592	35.00	25.00
1593	35.00	31.00
1594	35.00	34.00
1595	35.00	36.00
1596	35.00	38.00
1597	35.00	34.00
1607	35.00	16.00
1668	35.00	21.00
1669	35.00	25.00
1670	35.00	31.00
1671	35.00	30.00
1672	35.00	27.00
1673	35.00	33.00
1674	35.00	23.00
1675	35.00	30.00
1676	35.00	31.00
1677	35.00	30.00
1678	35.00	36.00
1679	35.00	31.00
1680	35.00	38.00
1690	35.00	15.00
1751	35.00	24.00
1752	35.00	25.00
1753	35.00	30.00
1754	35.00	30.00
1755	35.00	32.00
1756	35.00	33.00
1757	35.00	31.00
1758	35.00	17.00
1759	35.00	25.00
1760	35.00	33.00
1761	35.00	36.00
1762	35.00	34.00
1763	35.00	38.00
1773	35.00	13.00
1833	35.00	23.00
1834	35.00	24.00
1835	35.00	29.00
1836	35.00	31.00
1837	35.00	20.00
1838	35.00	29.00
1839	35.00	30.00
1840	35.00	40.00
1841	35.00	17.00
1842	35.00	16.00
1843	35.00	33.00
1844	35.00	25.00
1845	35.00	34.00
1856	35.00	13.00
1861	35.00	17.00
1916	35.00	33.00
1917	35.00	31.00
1918	35.00	32.00
1919	35.00	31.00
1920	35.00	26.00
1921	35.00	29.00
1922	35.00	26.00
1923	35.00	24.00
1924	35.00	16.00
1925	35.00	26.00
1926	35.00	31.00
1927	35.00	26.00
1928	35.00	32.00
1939	35.00	14.00
1940	35.00	19.00
2000	35.00	28.00
2001	35.00	28.00
2002	35.00	36.00
2003	35.00	31.00
2004	35.00	27.00
2005	35.00	38.00
2006	35.00	24.00
2007	35.00	20.00
2008	35.00	26.00
2009	35.00	28.00
2010	35.00	26.00
2011	35.00	28.00
2022	35.00	15.00
2023	35.00	19.00
2083	35.00	28.00
2084	35.00	28.00
2085	35.00	32.00
2086	35.00	31.00
2087	35.00	29.00
2088	35.00	38.00
2089	35.00	29.00
2090	35.00	27.00
2091	35.00	31.00
2092	35.00	36.00
2093	35.00	31.00
2094	35.00	30.00
2105	35.00	23.00
2166	35.00	28.00
2167	35.00	26.00
2168	35.00	31.00
2169	35.00	36.00
2170	35.00	34.00
2171	35.00	27.00
2172	35.00	26.00
2173	35.00	27.00
2174	35.00	33.00
2175	35.00	36.00
2176	35.00	30.00
2177	35.00	30.00
2178	35.00	34.00
2188	35.00	23.00
2249	35.00	25.00
2250	35.00	33.00
2251	35.00	31.00
2252	35.00	33.00
2253	35.00	34.00
2254	35.00	32.00
2255	35.00	27.00
2256	35.00	35.00
2257	35.00	30.00
2258	35.00	24.00
2259	35.00	28.00
2260	35.00	26.00
2261	35.00	33.00
2271	35.00	19.00
2332	35.00	30.00
2333	35.00	29.00
2334	35.00	27.00
