plots	anabasis	caragana	desert-shrub	haloxylon	mountain-shrub	mountain-steppe	steppe	salt
297	161.87	NA	NA	NA	NA	NA	NA	NA
298	162.01	NA	NA	NA	NA	NA	NA	NA
299	162.14	NA	NA	NA	NA	NA	NA	NA
300	162.28	NA	NA	NA	NA	NA	NA	NA
301	162.41	NA	NA	NA	NA	NA	NA	NA
302	162.55	NA	NA	NA	NA	NA	NA	NA
303	162.68	NA	NA	NA	NA	NA	NA	NA
304	162.82	NA	NA	NA	NA	NA	NA	NA
305	162.95	NA	NA	NA	NA	NA	NA	NA
306	163.08	NA	NA	NA	NA	NA	NA	NA
307	163.21	NA	NA	NA	NA	NA	NA	NA
308	163.35	NA	NA	NA	NA	NA	NA	NA
309	163.48	NA	NA	NA	NA	NA	NA	NA
310	163.61	NA	NA	NA	NA	NA	NA	NA
311	163.74	NA	NA	NA	NA	NA	NA	NA
312	163.87	NA	NA	NA	NA	NA	NA	NA
313	164	NA	NA	NA	NA	NA	NA	NA
314	164.13	NA	NA	NA	NA	NA	NA	NA
315	164.26	NA	NA	NA	NA	NA	NA	NA
316	164.39	NA	NA	NA	NA	NA	NA	NA
317	164.52	NA	NA	NA	NA	NA	NA	NA
318	164.65	NA	NA	NA	NA	NA	NA	NA
319	164.78	NA	NA	NA	NA	NA	NA	NA
320	164.9	NA	NA	NA	NA	NA	NA	NA
321	165.03	NA	NA	NA	NA	NA	NA	NA
322	165.16	NA	NA	NA	NA	NA	NA	NA
323	165.28	NA	NA	NA	NA	NA	NA	NA
324	165.41	NA	NA	NA	NA	NA	NA	NA
325	165.54	NA	NA	NA	NA	NA	NA	NA
326	165.66	NA	NA	NA	NA	NA	NA	NA
327	165.79	NA	NA	NA	NA	NA	NA	NA
328	165.91	NA	NA	NA	NA	NA	NA	NA
329	166.04	NA	NA	NA	NA	NA	NA	NA
330	166.16	NA	NA	NA	NA	NA	NA	NA
331	166.29	NA	NA	NA	NA	NA	NA	NA
332	166.41	NA	NA	NA	NA	NA	NA	NA
333	166.53	NA	NA	NA	NA	NA	NA	NA
334	166.65	NA	NA	NA	NA	NA	NA	NA
335	166.78	NA	NA	NA	NA	NA	NA	NA
336	166.9	NA	NA	NA	NA	NA	NA	NA
337	167.02	NA	NA	NA	NA	NA	NA	NA
338	167.14	NA	NA	NA	NA	NA	NA	NA
339	167.26	NA	NA	NA	NA	NA	NA	NA
340	167.39	NA	NA	NA	NA	NA	NA	NA
341	167.51	NA	NA	NA	NA	NA	NA	NA
342	167.63	NA	NA	NA	NA	NA	NA	NA
343	167.75	NA	NA	NA	NA	NA	NA	NA
344	167.87	NA	NA	NA	NA	NA	NA	NA
345	167.99	NA	NA	NA	NA	NA	NA	NA
346	168.11	NA	NA	NA	NA	NA	NA	NA
347	168.22	NA	NA	NA	NA	NA	NA	NA
348	168.34	NA	NA	NA	NA	NA	NA	NA
349	168.46	NA	NA	NA	NA	NA	NA	NA
350	168.58	NA	NA	NA	NA	NA	NA	NA
351	168.7	NA	NA	NA	NA	NA	NA	NA
352	168.81	NA	NA	NA	NA	NA	NA	NA
353	168.93	NA	NA	NA	NA	NA	NA	NA
354	169.05	NA	NA	NA	NA	NA	NA	NA
355	169.17	NA	NA	NA	NA	NA	NA	NA
356	169.28	NA	NA	NA	NA	NA	NA	NA
357	169.4	NA	NA	NA	NA	NA	NA	NA
358	169.51	NA	NA	NA	NA	NA	NA	NA
359	169.63	NA	NA	NA	NA	NA	NA	NA
360	169.74	NA	NA	NA	NA	NA	NA	NA
361	169.86	NA	NA	NA	NA	NA	NA	NA
362	169.97	NA	NA	NA	NA	NA	NA	NA
363	170.09	NA	NA	NA	NA	NA	NA	NA
364	170.2	NA	NA	NA	NA	NA	NA	NA
365	170.32	NA	NA	NA	NA	NA	NA	NA
366	170.43	NA	NA	NA	NA	NA	NA	NA
367	170.55	NA	NA	NA	NA	NA	NA	NA
368	170.66	NA	NA	NA	NA	NA	NA	NA
369	170.77	NA	NA	NA	NA	NA	NA	NA
