MASTER	LON_EX	LAT_EX	ALT_EX	alt_srtm	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE_ALL	SPECIES	SHORTLIVED	PERENIAL	ANNUAL	BIENNIAL	HSCAP	HROS	GEOPHYTES	HCAESP	CHAMAEPHYT	NANOPHANOR	MAKROPHANE	OID_	MASTER_1	COUNT	ggs	ggb	gga	sg	MEAN	PRO	comm_coarse	Comm	slope	aspect	slope_srtm	aspect_srtm	sin_srtm	pro
914	98.2466	42.9638	1592	1613	-20.3000	-17.8000	-10.7000	-2.5000	4.6000	10.4000	12.7000	11.2000	5.0000	-3.4000	-12.2000	-17.9000	-5.9000	-2.3000	4.7000	13.2000	20.2000	25.3000	26.9000	25.6000	20.0000	11.6000	2.1000	-4.1000	1	1	1	3	3	10	22	16	6	2	1	1	67	7	1	2	1	0	3	0	1	1	1	3	0	912	914	1	0	0	1	0	105.55100250244	133.00000000000	6	8	1.3459	275.1280	12.4577	283.7530	0.8467	24.86650000000
915	98.2480	42.9642	1600	1617	-20.3000	-17.8000	-10.7000	-2.5000	4.6000	10.4000	12.7000	11.2000	5.0000	-3.4000	-12.2000	-17.9000	-5.9000	-2.3000	4.7000	13.2000	20.2000	25.3000	26.9000	25.6000	20.0000	11.6000	2.1000	-4.1000	1	1	1	3	3	10	22	16	6	2	1	1	67	6	3	1	3	0	1	1	2	3	0	2	0	913	915	1	0	0	1	0	105.55100250244	80.00000000000	7	16	1.3459	275.1280	12.4577	283.7530	0.8467	18.69770000000
916	98.3026	42.9572	1748	1783	-20.7000	-18.5000	-11.6000	-3.6000	3.5000	9.5000	11.6000	10.1000	4.0000	-4.3000	-12.9000	-18.5000	-6.3000	-3.0000	3.6000	11.9000	18.9000	24.1000	25.5000	24.3000	18.8000	10.5000	1.3000	-4.6000	1	1	1	3	4	12	25	19	7	2	1	1	77	11	0	2	0	0	4	1	1	1	1	1	0	914	916	1	0	0	1	0	105.55100250244	147.00000000000	4	13	1.7824	289.1340	17.9129	291.8010	0.3589	27.26560000000
917	98.3034	42.9591	1771	1786	-20.7000	-18.4000	-11.6000	-3.5000	3.6000	9.5000	11.7000	10.1000	4.0000	-4.2000	-12.9000	-18.4000	-6.4000	-3.0000	3.6000	11.9000	19.0000	24.1000	25.6000	24.4000	18.7000	10.6000	1.3000	-4.6000	1	1	1	3	4	12	25	19	7	2	1	1	77	6	4	3	4	0	2	1	1	1	1	5	0	915	917	1	0	0	1	0	105.55100250244	221.00000000000	5	9	1.7876	298.4130	19.5545	301.8770	0.2803	62.30210000000
918	98.3310	42.9574	1822	1857	-20.7000	-18.5000	-11.6000	-3.6000	3.5000	9.5000	11.6000	10.1000	4.0000	-4.3000	-12.9000	-18.5000	-6.3000	-3.0000	3.6000	11.9000	18.9000	24.1000	25.5000	24.3000	18.8000	10.5000	1.3000	-4.6000	1	1	1	3	4	12	25	19	7	2	1	1	77	6	3	1	3	0	0	1	0	1	2	0	0	916	918	1	0	0	1	0	105.55100250244	138.00000000000	4	13	1.5777	302.9980	18.3207	316.1020	0.9316	29.08020000000
919	98.3314	42.9556	1863	1864	-20.7000	-18.5000	-11.6000	-3.6000	3.5000	9.5000	11.6000	10.1000	4.0000	-4.3000	-12.9000	-18.5000	-6.3000	-3.0000	3.6000	11.9000	18.9000	24.1000	25.5000	24.3000	18.8000	10.5000	1.3000	-4.6000	1	1	1	3	4	12	25	19	7	2	1	1	77	7	3	2	3	0	4	1	1	1	0	3	0	917	919	1	0	0	1	0	105.55100250244	221.00000000000	5	9	1.5777	302.9980	14.2839	293.9970	-0.9669	62.30210000000
920	98.3734	42.9556	1919	1959	-21.2000	-19.0000	-12.4000	-4.4000	2.6000	8.6000	10.8000	9.3000	3.2000	-5.0000	-13.6000	-19.0000	-6.9000	-3.7000	2.7000	10.9000	17.8000	23.0000	24.5000	23.3000	17.7000	9.6000	0.6000	-5.1000	1	1	2	4	5	14	27	21	8	3	1	1	88	7	1	3	1	0	2	1	1	2	1	3	0	918	920	1	0	0	1	0	121.31300354004	138.00000000000	4	13	1.4522	309.7190	15.9746	299.5210	-0.8771	29.08020000000
921	98.3739	42.9571	1948	1959	-21.2000	-19.0000	-12.4000	-4.4000	2.6000	8.6000	10.8000	9.3000	3.2000	-5.0000	-13.6000	-19.0000	-6.9000	-3.7000	2.7000	10.9000	17.8000	23.0000	24.5000	23.3000	17.7000	9.6000	0.6000	-5.1000	1	1	2	4	5	14	27	21	8	3	1	1	88	5	1	2	1	0	3	0	0	1	2	4	0	919	921	1	0	0	1	0	121.31300354004	221.00000000000	5	9	1.4522	309.7190	15.9746	299.5210	-0.8771	62.30210000000
922	98.4526	42.9383	1934	1963	-21.1000	-18.9000	-12.3000	-4.3000	2.7000	8.7000	10.8000	9.3000	3.3000	-4.9000	-13.4000	-18.8000	-6.8000	-3.5000	2.7000	10.9000	17.9000	23.1000	24.6000	23.3000	17.9000	9.7000	0.7000	-5.0000	1	1	2	4	5	13	27	21	8	3	1	1	87	4	2	0	2	0	1	0	1	2	0	1	0	920	922	1	0	0	1	0	126.09999847412	138.00000000000	4	13	1.2312	93.6013	21.0618	85.9780	-0.9148	29.08020000000
923	98.4536	42.9398	1957	1963	-21.1000	-18.9000	-12.3000	-4.3000	2.7000	8.7000	10.8000	9.3000	3.3000	-4.9000	-13.4000	-18.8000	-6.8000	-3.5000	2.7000	10.9000	17.9000	23.1000	24.6000	23.3000	17.9000	9.7000	0.7000	-5.0000	1	1	2	4	5	13	27	21	8	3	1	1	87	5	3	3	3	0	2	0	1	1	0	3	0	921	923	1	0	0	1	0	126.09999847412	221.00000000000	5	9	1.2312	93.6013	12.3249	105.9450	-0.7638	62.30210000000
